Passo,Nível_de_Compartilhamento,Justiça,Satisfação,overallBalance,capacity,kappa,numberOfPeers,NoF,tMin,tMax,delta,seed
167,0.5,0.4162826420890937,0.781437125748503,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
168,0.5,0.41666666666666663,0.78125,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
169,0.5,0.4171626984126984,0.7810650887573964,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
170,0.5,0.41759672619047616,0.7808823529411765,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
171,0.5,0.41796875,0.7807017543859649,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
172,0.5,0.41844951923076923,0.7805232558139534,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
173,0.5,0.4188701923076923,0.7803468208092486,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
174,0.5,0.4192307692307693,0.7801724137931034,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
175,0.5,0.4196969696969697,0.78,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
176,0.5,0.4201048951048951,0.7798295454545454,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
177,0.5,0.4204545454545454,0.7796610169491526,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
178,0.5,0.420906829488919,0.7794943820224719,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
179,0.5,0.42130257801899595,0.7793296089385475,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
180,0.5,0.42164179104477617,0.7791666666666667,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
181,0.5,0.4220807726075505,0.7790055248618785,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
182,0.5,0.42246488147497807,0.7788461538461539,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
